,year,month,day,hour,V,Verr,N,Nerr,S,Serr,E,Eerr,W,Werr,NE,NEerr,SE,SEerr,NW,NWerr,SW,SWerr,N2,N2err,S2,S2err,E2,E2err,W2,W2err,N3,N3err,S3,S3err,E3,E3err,W3,W3err,Pres.,TIME
0,2018,1,1,0,2528469,1592,890790,945,916210,958,1126491,1062,1210412,1101,444814,667,459951,679,496614,705,531485,730,258881,509,282334,532,350077,592,401461,634,41749,204,43156,208,86124,293,105991,326,952.482,2018-01-01 00:30:00
1,2018,1,1,1,2528922,1593,892141,946,914520,958,1123784,1061,1208388,1101,446089,669,461455,680,496254,705,532102,730,259044,509,281027,531,350183,592,401124,634,41879,205,43146,208,86693,294,105733,325,953.071,2018-01-01 01:30:00
2,2018,1,1,2,2534798,1594,892665,946,916775,959,1125672,1062,1208607,1101,446406,669,462469,681,497796,706,532952,731,259367,510,281449,531,351768,594,400844,634,42078,205,43055,207,86791,295,105690,325,952.938,2018-01-01 02:30:00
3,2018,1,1,3,2531762,1593,891020,945,915880,958,1127816,1063,1211497,1102,445272,668,461285,680,496656,705,531493,730,258323,509,281304,531,350721,593,401612,634,41879,204,43199,208,86844,295,106130,326,952.556,2018-01-01 03:30:00
4,2018,1,1,4,2535773,1594,893531,946,917798,959,1125646,1062,1211156,1101,445716,668,462089,680,498351,706,532119,730,259327,509,281854,531,351756,593,402246,635,41783,204,43119,207,86146,293,105756,325,952.221,2018-01-01 04:30:00
5,2018,1,1,5,2536515,1594,894591,946,916178,958,1127775,1062,1211835,1101,445841,668,462543,680,498525,706,531297,729,259593,509,281718,531,351761,593,402762,635,41875,204,43250,208,86428,294,106475,326,951.527,2018-01-01 05:30:00
6,2018,1,1,6,2534196,1593,893699,946,917480,958,1126405,1062,1211637,1101,445292,667,462215,680,498822,706,532347,730,259555,509,281100,530,350338,592,402829,635,42105,205,43232,208,86990,295,106177,326,951.203,2018-01-01 06:30:00
7,2018,1,1,7,2533983,1593,892477,945,915303,957,1121874,1059,1213019,1102,445241,667,462091,680,498249,706,531818,729,259986,510,282264,531,350312,592,402332,634,41419,203,43461,208,86944,295,105893,325,951.351,2018-01-01 07:30:00
8,2018,1,1,8,2532026,1592,889877,944,916219,958,1127270,1062,1209440,1100,446365,668,461081,679,497312,705,531575,729,259969,510,281274,530,351058,593,401332,634,42158,205,43175,207,86474,294,106018,325,951.558,2018-01-01 08:30:00
9,2018,1,1,9,2530683,1592,891326,945,918171,959,1126260,1062,1210739,1101,444362,667,462136,680,497007,705,533052,730,259529,509,282286,531,350873,592,401961,634,42028,205,43074,207,86681,294,106765,327,951.654,2018-01-01 09:30:00
10,2018,1,1,10,2532927,1594,891706,945,918801,960,1127842,1063,1210856,1102,446127,668,461005,679,497435,706,533020,731,260111,510,282003,531,352385,594,402208,635,42129,205,42957,207,86823,295,106113,326,952.743,2018-01-01 10:30:00
11,2018,1,1,11,2535179,1595,893143,947,918195,960,1128793,1064,1210637,1102,445484,668,462242,681,497757,707,533721,732,259515,510,282534,532,351811,594,401689,635,41904,205,42868,207,86823,295,105861,326,953.517,2018-01-01 11:30:00
12,2018,1,1,12,2534457,1595,892099,946,916110,959,1129182,1064,1210876,1102,444892,668,461679,680,497793,707,534059,732,259565,510,281767,531,351625,594,402089,635,41861,205,43244,208,86765,295,106045,326,953.554,2018-01-01 12:30:00
13,2018,1,1,13,2537550,1596,894181,947,917598,959,1128963,1064,1211777,1103,445802,669,463393,682,497298,706,531786,730,260228,511,282606,532,351493,594,401231,634,42419,206,42849,207,86121,294,106114,326,953.619,2018-01-01 13:30:00
14,2018,1,1,14,2536055,1595,893278,946,916256,959,1127666,1063,1210729,1102,445796,668,461968,680,498062,707,532455,731,260314,511,282219,532,351855,594,401951,635,42141,205,43004,207,86763,295,105457,325,953.141,2018-01-01 14:30:00
15,2018,1,1,15,2534106,1594,892591,946,915398,958,1127733,1063,1211651,1102,446242,669,461326,680,497402,706,531367,730,259888,510,282430,532,350947,593,401527,634,41998,205,43082,207,86855,295,105904,326,952.812,2018-01-01 15:30:00
16,2018,1,1,16,2536044,1594,892227,945,916422,958,1124736,1061,1210014,1101,446039,668,460615,679,499544,707,532660,730,259956,510,282838,532,351192,593,402374,635,42029,205,43038,207,86497,294,105561,325,952.266,2018-01-01 16:30:00
17,2018,1,1,17,2534205,1593,893012,946,915324,957,1124932,1061,1209691,1101,445511,668,461577,680,497348,706,531489,729,259271,509,281969,531,350439,592,402803,635,41518,203,43037,207,85923,293,106021,326,951.859,2018-01-01 17:30:00
18,2018,1,1,18,2530977,1591,892477,945,915788,957,1124389,1061,1209360,1100,445135,667,460581,679,498466,706,531172,729,260149,510,281245,530,350350,592,401100,633,42008,205,42929,207,87004,295,105711,325,951.117,2018-01-01 18:30:00
19,2018,1,1,19,2527804,1590,890713,944,913440,956,1126673,1061,1208907,1099,444369,666,459956,678,497004,705,530677,728,260099,510,281057,530,350372,592,400961,633,42125,205,43041,207,86846,294,106791,326,950.718,2018-01-01 19:30:00
